case_id,local_alignment_overall,global_alignment_overall,n_alignment_rows,n_alignment_roles,n_alignment_seeds,model,alignment_group,alignment_bin_rule
E009,0.8,0.6,5,5,1,Qwen,low_alignment,two_unique_values_tie_preserving_perfect_vs_imperfect_when_applicable
E015,0.8,0.6,5,5,1,Qwen,low_alignment,two_unique_values_tie_preserving_perfect_vs_imperfect_when_applicable
E019,0.8,0.6,5,5,1,Qwen,low_alignment,two_unique_values_tie_preserving_perfect_vs_imperfect_when_applicable
E023,0.8,0.6,5,5,1,Qwen,low_alignment,two_unique_values_tie_preserving_perfect_vs_imperfect_when_applicable
E025,0.8,0.6,5,5,1,Qwen,low_alignment,two_unique_values_tie_preserving_perfect_vs_imperfect_when_applicable
E029,0.8,0.6,5,5,1,Qwen,low_alignment,two_unique_values_tie_preserving_perfect_vs_imperfect_when_applicable
E034,0.8,0.6,5,5,1,Qwen,low_alignment,two_unique_values_tie_preserving_perfect_vs_imperfect_when_applicable
E035,0.8,0.6,5,5,1,Qwen,low_alignment,two_unique_values_tie_preserving_perfect_vs_imperfect_when_applicable
E037,0.8,0.6,5,5,1,Qwen,low_alignment,two_unique_values_tie_preserving_perfect_vs_imperfect_when_applicable
A004,1.0,0.8,5,5,1,Qwen,high_alignment,two_unique_values_tie_preserving_perfect_vs_imperfect_when_applicable
A006,1.0,0.6,5,5,1,Qwen,high_alignment,two_unique_values_tie_preserving_perfect_vs_imperfect_when_applicable
A008,1.0,0.8,5,5,1,Qwen,high_alignment,two_unique_values_tie_preserving_perfect_vs_imperfect_when_applicable
A018,1.0,0.6,5,5,1,Qwen,high_alignment,two_unique_values_tie_preserving_perfect_vs_imperfect_when_applicable
A019,1.0,0.6,5,5,1,Qwen,high_alignment,two_unique_values_tie_preserving_perfect_vs_imperfect_when_applicable
A023,1.0,0.6,5,5,1,Qwen,high_alignment,two_unique_values_tie_preserving_perfect_vs_imperfect_when_applicable
A024,1.0,0.6,5,5,1,Qwen,high_alignment,two_unique_values_tie_preserving_perfect_vs_imperfect_when_applicable
A029,1.0,0.6,5,5,1,Qwen,high_alignment,two_unique_values_tie_preserving_perfect_vs_imperfect_when_applicable
A030,1.0,0.6,5,5,1,Qwen,high_alignment,two_unique_values_tie_preserving_perfect_vs_imperfect_when_applicable
A033,1.0,0.6,5,5,1,Qwen,high_alignment,two_unique_values_tie_preserving_perfect_vs_imperfect_when_applicable
A034,1.0,0.6,5,5,1,Qwen,high_alignment,two_unique_values_tie_preserving_perfect_vs_imperfect_when_applicable
A036,1.0,0.6,5,5,1,Qwen,high_alignment,two_unique_values_tie_preserving_perfect_vs_imperfect_when_applicable
A037,1.0,0.6,5,5,1,Qwen,high_alignment,two_unique_values_tie_preserving_perfect_vs_imperfect_when_applicable
A039,1.0,0.6,5,5,1,Qwen,high_alignment,two_unique_values_tie_preserving_perfect_vs_imperfect_when_applicable
B003,1.0,0.6,5,5,1,Qwen,high_alignment,two_unique_values_tie_preserving_perfect_vs_imperfect_when_applicable
B006,1.0,0.6,5,5,1,Qwen,high_alignment,two_unique_values_tie_preserving_perfect_vs_imperfect_when_applicable
B007,1.0,0.6,5,5,1,Qwen,high_alignment,two_unique_values_tie_preserving_perfect_vs_imperfect_when_applicable
B008,1.0,0.6,5,5,1,Qwen,high_alignment,two_unique_values_tie_preserving_perfect_vs_imperfect_when_applicable
B010,1.0,0.6,5,5,1,Qwen,high_alignment,two_unique_values_tie_preserving_perfect_vs_imperfect_when_applicable
B013,1.0,0.6,5,5,1,Qwen,high_alignment,two_unique_values_tie_preserving_perfect_vs_imperfect_when_applicable
B015,1.0,0.6,5,5,1,Qwen,high_alignment,two_unique_values_tie_preserving_perfect_vs_imperfect_when_applicable
B016,1.0,0.6,5,5,1,Qwen,high_alignment,two_unique_values_tie_preserving_perfect_vs_imperfect_when_applicable
B017,1.0,0.6,5,5,1,Qwen,high_alignment,two_unique_values_tie_preserving_perfect_vs_imperfect_when_applicable
B023,1.0,0.6,5,5,1,Qwen,high_alignment,two_unique_values_tie_preserving_perfect_vs_imperfect_when_applicable
B024,1.0,0.6,5,5,1,Qwen,high_alignment,two_unique_values_tie_preserving_perfect_vs_imperfect_when_applicable
B025,1.0,0.6,5,5,1,Qwen,high_alignment,two_unique_values_tie_preserving_perfect_vs_imperfect_when_applicable
B026,1.0,0.6,5,5,1,Qwen,high_alignment,two_unique_values_tie_preserving_perfect_vs_imperfect_when_applicable
B027,1.0,0.6,5,5,1,Qwen,high_alignment,two_unique_values_tie_preserving_perfect_vs_imperfect_when_applicable
B028,1.0,0.6,5,5,1,Qwen,high_alignment,two_unique_values_tie_preserving_perfect_vs_imperfect_when_applicable
B030,1.0,0.6,5,5,1,Qwen,high_alignment,two_unique_values_tie_preserving_perfect_vs_imperfect_when_applicable
B034,1.0,0.6,5,5,1,Qwen,high_alignment,two_unique_values_tie_preserving_perfect_vs_imperfect_when_applicable
B036,1.0,0.6,5,5,1,Qwen,high_alignment,two_unique_values_tie_preserving_perfect_vs_imperfect_when_applicable
B038,1.0,0.6,5,5,1,Qwen,high_alignment,two_unique_values_tie_preserving_perfect_vs_imperfect_when_applicable
B039,1.0,0.6,5,5,1,Qwen,high_alignment,two_unique_values_tie_preserving_perfect_vs_imperfect_when_applicable
B040,1.0,0.6,5,5,1,Qwen,high_alignment,two_unique_values_tie_preserving_perfect_vs_imperfect_when_applicable
C003,1.0,0.6,5,5,1,Qwen,high_alignment,two_unique_values_tie_preserving_perfect_vs_imperfect_when_applicable
C007,1.0,0.6,5,5,1,Qwen,high_alignment,two_unique_values_tie_preserving_perfect_vs_imperfect_when_applicable
C008,1.0,0.6,5,5,1,Qwen,high_alignment,two_unique_values_tie_preserving_perfect_vs_imperfect_when_applicable
C009,1.0,0.6,5,5,1,Qwen,high_alignment,two_unique_values_tie_preserving_perfect_vs_imperfect_when_applicable
C010,1.0,0.6,5,5,1,Qwen,high_alignment,two_unique_values_tie_preserving_perfect_vs_imperfect_when_applicable
C013,1.0,0.6,5,5,1,Qwen,high_alignment,two_unique_values_tie_preserving_perfect_vs_imperfect_when_applicable
C014,1.0,0.6,5,5,1,Qwen,high_alignment,two_unique_values_tie_preserving_perfect_vs_imperfect_when_applicable
C015,1.0,0.6,5,5,1,Qwen,high_alignment,two_unique_values_tie_preserving_perfect_vs_imperfect_when_applicable
C016,1.0,0.6,5,5,1,Qwen,high_alignment,two_unique_values_tie_preserving_perfect_vs_imperfect_when_applicable
C018,1.0,0.6,5,5,1,Qwen,high_alignment,two_unique_values_tie_preserving_perfect_vs_imperfect_when_applicable
C023,1.0,0.6,5,5,1,Qwen,high_alignment,two_unique_values_tie_preserving_perfect_vs_imperfect_when_applicable
C024,1.0,0.6,5,5,1,Qwen,high_alignment,two_unique_values_tie_preserving_perfect_vs_imperfect_when_applicable
C026,1.0,0.6,5,5,1,Qwen,high_alignment,two_unique_values_tie_preserving_perfect_vs_imperfect_when_applicable
C028,1.0,0.6,5,5,1,Qwen,high_alignment,two_unique_values_tie_preserving_perfect_vs_imperfect_when_applicable
C029,1.0,0.6,5,5,1,Qwen,high_alignment,two_unique_values_tie_preserving_perfect_vs_imperfect_when_applicable
C034,1.0,0.6,5,5,1,Qwen,high_alignment,two_unique_values_tie_preserving_perfect_vs_imperfect_when_applicable
C035,1.0,0.6,5,5,1,Qwen,high_alignment,two_unique_values_tie_preserving_perfect_vs_imperfect_when_applicable
C036,1.0,0.6,5,5,1,Qwen,high_alignment,two_unique_values_tie_preserving_perfect_vs_imperfect_when_applicable
C037,1.0,0.6,5,5,1,Qwen,high_alignment,two_unique_values_tie_preserving_perfect_vs_imperfect_when_applicable
C038,1.0,0.6,5,5,1,Qwen,high_alignment,two_unique_values_tie_preserving_perfect_vs_imperfect_when_applicable
C040,1.0,0.6,5,5,1,Qwen,high_alignment,two_unique_values_tie_preserving_perfect_vs_imperfect_when_applicable
D004,1.0,0.6,5,5,1,Qwen,high_alignment,two_unique_values_tie_preserving_perfect_vs_imperfect_when_applicable
D009,1.0,0.6,5,5,1,Qwen,high_alignment,two_unique_values_tie_preserving_perfect_vs_imperfect_when_applicable
D015,1.0,0.6,5,5,1,Qwen,high_alignment,two_unique_values_tie_preserving_perfect_vs_imperfect_when_applicable
D024,1.0,0.6,5,5,1,Qwen,high_alignment,two_unique_values_tie_preserving_perfect_vs_imperfect_when_applicable
D027,1.0,0.6,5,5,1,Qwen,high_alignment,two_unique_values_tie_preserving_perfect_vs_imperfect_when_applicable
D029,1.0,0.6,5,5,1,Qwen,high_alignment,two_unique_values_tie_preserving_perfect_vs_imperfect_when_applicable
D035,1.0,0.6,5,5,1,Qwen,high_alignment,two_unique_values_tie_preserving_perfect_vs_imperfect_when_applicable
D036,1.0,0.6,5,5,1,Qwen,high_alignment,two_unique_values_tie_preserving_perfect_vs_imperfect_when_applicable
D037,1.0,0.6,5,5,1,Qwen,high_alignment,two_unique_values_tie_preserving_perfect_vs_imperfect_when_applicable
D040,1.0,0.6,5,5,1,Qwen,high_alignment,two_unique_values_tie_preserving_perfect_vs_imperfect_when_applicable
E003,1.0,0.6,5,5,1,Qwen,high_alignment,two_unique_values_tie_preserving_perfect_vs_imperfect_when_applicable
E005,1.0,0.6,5,5,1,Qwen,high_alignment,two_unique_values_tie_preserving_perfect_vs_imperfect_when_applicable
E007,1.0,0.6,5,5,1,Qwen,high_alignment,two_unique_values_tie_preserving_perfect_vs_imperfect_when_applicable
E010,1.0,0.6,5,5,1,Qwen,high_alignment,two_unique_values_tie_preserving_perfect_vs_imperfect_when_applicable
E013,1.0,0.6,5,5,1,Qwen,high_alignment,two_unique_values_tie_preserving_perfect_vs_imperfect_when_applicable
E014,1.0,0.6,5,5,1,Qwen,high_alignment,two_unique_values_tie_preserving_perfect_vs_imperfect_when_applicable
E016,1.0,0.6,5,5,1,Qwen,high_alignment,two_unique_values_tie_preserving_perfect_vs_imperfect_when_applicable
E017,1.0,0.6,5,5,1,Qwen,high_alignment,two_unique_values_tie_preserving_perfect_vs_imperfect_when_applicable
E018,1.0,0.6,5,5,1,Qwen,high_alignment,two_unique_values_tie_preserving_perfect_vs_imperfect_when_applicable
E020,1.0,0.6,5,5,1,Qwen,high_alignment,two_unique_values_tie_preserving_perfect_vs_imperfect_when_applicable
E024,1.0,0.6,5,5,1,Qwen,high_alignment,two_unique_values_tie_preserving_perfect_vs_imperfect_when_applicable
E026,1.0,0.6,5,5,1,Qwen,high_alignment,two_unique_values_tie_preserving_perfect_vs_imperfect_when_applicable
E027,1.0,0.6,5,5,1,Qwen,high_alignment,two_unique_values_tie_preserving_perfect_vs_imperfect_when_applicable
E028,1.0,0.6,5,5,1,Qwen,high_alignment,two_unique_values_tie_preserving_perfect_vs_imperfect_when_applicable
E030,1.0,0.6,5,5,1,Qwen,high_alignment,two_unique_values_tie_preserving_perfect_vs_imperfect_when_applicable
E033,1.0,0.6,5,5,1,Qwen,high_alignment,two_unique_values_tie_preserving_perfect_vs_imperfect_when_applicable
E036,1.0,0.6,5,5,1,Qwen,high_alignment,two_unique_values_tie_preserving_perfect_vs_imperfect_when_applicable
E038,1.0,0.6,5,5,1,Qwen,high_alignment,two_unique_values_tie_preserving_perfect_vs_imperfect_when_applicable
E039,1.0,0.6,5,5,1,Qwen,high_alignment,two_unique_values_tie_preserving_perfect_vs_imperfect_when_applicable
E040,1.0,0.6,5,5,1,Qwen,high_alignment,two_unique_values_tie_preserving_perfect_vs_imperfect_when_applicable
